 2022-Dec-13 00:00,*, , 06 30 24.15, +11 15 46.6,
 2022-Dec-14 00:00,*, , 06 31 34.06, +10 57 02.7,
 2022-Dec-15 00:00,*, , 06 32 39.12, +10 38 53.7,
 2022-Dec-16 00:00,*, , 06 33 39.28, +10 21 21.4,
 2022-Dec-17 00:00,*, , 06 34 34.53, +10 04 28.2,
 2022-Dec-18 00:00,*, , 06 35 24.95, +09 48 16.5,
 2022-Dec-19 00:00,*, , 06 36 10.68, +09 32 49.2,
 2022-Dec-20 00:00,*, , 06 36 51.94, +09 18 09.1,
 2022-Dec-21 00:00,*, , 06 37 29.08, +09 04 19.3,
 2022-Dec-22 00:00,*, , 06 38 02.59, +08 51 22.6,
 2022-Dec-23 00:00,*,m, 06 38 33.08, +08 39 21.6,
 2022-Dec-24 00:00,*,m, 06 39 01.27, +08 28 18.0,
 2022-Dec-25 00:00,*,m, 06 39 27.95, +08 18 12.9,
 2022-Dec-26 00:00,*,m, 06 39 53.90, +08 09 06.1,
 2022-Dec-27 00:00,*,m, 06 40 19.85, +08 00 56.6,
 2022-Dec-28 00:00,*,m, 06 40 46.41, +07 53 42.6,
 2022-Dec-29 00:00,*,m, 06 41 09.05, +07 47 26.5,
 2022-Dec-30 00:00,*,m, 06 41 23.11, +07 42 10.1,
 2022-Dec-31 00:00,*,m, 06 41 38.85, +07 37 42.0,
 2023-Jan-01 00:00,*,m, 06 41 56.39, +07 33 59.9,
 2023-Jan-02 00:00,*,m, 06 42 15.74, +07 31 01.7,
 2023-Jan-03 00:00,*,m, 06 42 36.86, +07 28 45.4,
 2023-Jan-04 00:00,*,m, 06 42 59.65, +07 27 09.6,
 2023-Jan-05 00:00,*,m, 06 43 23.98, +07 26 13.2,
 2023-Jan-06 00:00,*,m, 06 43 49.71, +07 25 55.2,
 2023-Jan-07 00:00,*, , 06 44 16.67, +07 26 15.2,
 2023-Jan-08 00:00,*, , 06 44 44.70, +07 27 13.0,
 2023-Jan-09 00:00,*, , 06 45 13.67, +07 28 48.9,
 2023-Jan-10 00:00,*, , 06 45 43.44, +07 31 03.1,
